appointment_timestamp,us_time,live_count
1615536000000,2021-03-12 00:00:00.0000,18
1615852800000,2021-03-15 17:00:00.0000,18
1616133600000,2021-03-18 23:00:00.0000,18
1615867200000,2021-03-15 21:00:00.0000,18
1616392800000,2021-03-21 23:00:00.0000,18
1615946400000,2021-03-16 19:00:00.0000,18
1615024800000,2021-03-06 02:00:00.0000,18
1615255200000,2021-03-08 18:00:00.0000,18
1614722400000,2021-03-02 14:00:00.0000,18
1615896000000,2021-03-16 05:00:00.0000,17
1615788000000,2021-03-14 23:00:00.0000,17
1617069600000,2021-03-29 19:00:00.0000,17
1617177600000,2021-03-31 01:00:00.0000,17
1614895200000,2021-03-04 14:00:00.0000,17
1615543200000,2021-03-12 02:00:00.0000,17
1614960000000,2021-03-05 08:00:00.0000,17
1616580000000,2021-03-24 03:00:00.0000,17
1616061600000,2021-03-18 03:00:00.0000,17
1615032000000,2021-03-06 04:00:00.0000,17
1616479200000,2021-03-22 23:00:00.0000,16
1615039200000,2021-03-06 06:00:00.0000,16
1615096800000,2021-03-06 22:00:00.0000,16
1615327200000,2021-03-09 14:00:00.0000,16
1615377600000,2021-03-10 04:00:00.0000,16
1615435200000,2021-03-10 20:00:00.0000,16
1616378400000,2021-03-21 19:00:00.0000,16
1615291200000,2021-03-09 04:00:00.0000,16
1615068000000,2021-03-06 14:00:00.0000,16
1616148000000,2021-03-19 03:00:00.0000,16
1616220000000,2021-03-19 23:00:00.0000,16
1616724000000,2021-03-25 19:00:00.0000,16
1615593600000,2021-03-12 16:00:00.0000,15
1616997600000,2021-03-28 23:00:00.0000,15
1615910400000,2021-03-16 09:00:00.0000,15
1616745600000,2021-03-26 01:00:00.0000,15
1615284000000,2021-03-09 02:00:00.0000,15
1615392000000,2021-03-10 08:00:00.0000,15
1615176000000,2021-03-07 20:00:00.0000,15
1616457600000,2021-03-22 17:00:00.0000,15
1616515200000,2021-03-23 09:00:00.0000,15
1615248000000,2021-03-08 16:00:00.0000,15
1615766400000,2021-03-14 17:00:00.0000,15
1616407200000,2021-03-22 03:00:00.0000,15
1615780800000,2021-03-14 21:00:00.0000,14
